dat,artist,musicbrainz_url,title,album,label,year,country
2014.08.28,James Blake,http://musicbrainz.org/artist/8dc08b1f-e393-4f85-a5dd-300f7693a8b8,I never learnt to share,James Blake,Polydor / Atlas Recordings,2011,England
2014.08.28,Caribou,http://musicbrainz.org/artist/735e3514-a8ae-401f-af3b-6300df1b8d2c,Sun,Swim,City Slang,2010,Canada
2014.08.28,Casino Times,http://musicbrainz.org/artist/7b1d74aa-29b4-46d0-ab3f-54bc80c0b804,Principles,Wolf EP 23,Wolf Music Recordings,2014,England
2014.09.04,0,http://musicbrainz.org/artist/5adcb9d9-5ea2-428d-af46-ef626966e106,Rustin Man,Out of Season,Go! Beat,2002,England
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
2014.09.04,4,http://musicbrainz.org/artist/d1c6dcaa-751f-41e7-8dc5-7db2b30a1867,Colors of Rain,Sworn,Level Records,2008,Sweden
2014.09.04,Forest Swords,http://musicbrainz.org/artist/98400193-5390-4720-b29e-65593037256c,Miarches,Dagger Paths EP,No Pain in Pop / Olde English Spelling Bee,2010,England
irregular: needs manual input
irregular: needs manual input
2014.09.11,Tesslesstess,http://musicbrainz.org/artist/b3a7c641-279b-442f-a70a-eec1d65a7382,Hug Me Under a Bridge,Does It See Into Me?,self-released,2014,Germany) {[Get the album on Bandcamp](https://tesslesstess.bandcamp.com/
2014.09.11,Karlheinz Stockhausen,http://musicbrainz.org/artist/fd09d776-ddfd-4558-afe7-814420d704ed,Gesang der Jünglinge,Elektronische Musik 1952-1960,Stockhausen-Verlag,1992 (originally 1955-1956),Germany
2014.09.11,Hans Peter Heller,http://musicbrainz.org/artist/f9a3602f-b60e-4841-bc2d-99e595c7def1,Einführung,Neue Klangstrukturen Der Musik,Christophorus,1980,Germany
2014.09.11,Can,http://musicbrainz.org/artist/13501c7d-d181-45ba-af52-5f101d8516a0,Aumgn,Tago Mago,United Artists,1971,Germany
2014.09.11,Tangerine Dream,http://musicbrainz.org/artist/23d8426c-18c7-46e6-a51d-7395bd43c641,Movements of a Visionary,Phaedra,Virgin,1974,Germany
2014.09.11,Oval,http://musicbrainz.org/artist/2fa478b1-dee0-428c-8e18-8b0b6608b2dd,Panorama,O,Thrill Jockey,2010,Germany
2014.09.11,Bostro Pesopeo,http://musicbrainz.org/artist/a7f28c1c-8df6-45ab-912d-024e596805c2,Soon,Cheer Up,Permanent Vacation,2013,Germany
2014.09.11,Ellen Allien,http://musicbrainz.org/artist/2ff63f00-0954-4b14-9007-e19b822fc8b2,Naked Rain,Thrills,BPitch Control,2005,Germany
2014.09.11,MIT,http://musicbrainz.org/artist/103fa42d-b4fa-43dd-9c83-d13cf5c0f93b,Rauch,CODA,Haute Areal,2008,Germany
irregular: needs manual input
2014.09.18,0,http://musicbrainz.org/artist/ec477866-bfaa-48e0-affd-1c151ef61b7b,Communications from the Lab,Unreasonable Behaviour,F Communications / Play it Again Sam,2000,France
2014.09.18,1,http://musicbrainz.org/artist/83d8c079-a39a-42b1-af6e-4a202b8e6ab3,Troper,Burrows,Nonresponse,2009,USA / USA
